STA,Date,Precip,WindGustSpd,MaxTemp,MinTemp,MeanTemp,Snowfall,PoorWeather,YR,MO,DA,PRCP,DR,SPD,MAX,MIN,MEA,SNF,SND,ITH,PGT,TSHDSBRSGF,SD3,RHX,RHN,RVG,WTE
10001,01-07-42,1.016,,25.55555556,22.22222222,23.88888889,0,,42,7,1,0.04,,,78,72,75,0,,,,,,,,,
10001,02-07-42,0,,28.88888889,21.66666667,25.55555556,0,,42,7,2,0,,,84,71,78,0,,,,,,,,,
10001,03-07-42,2.54,,26.11111111,22.22222222,24.44444444,0,,42,7,3,0.1,,,79,72,76,0,,,,,,,,,
10001,04-07-42,2.54,,26.66666667,22.22222222,24.44444444,0,,42,7,4,0.1,,,80,72,76,0,,,,,,,,,
10001,05-07-42,0,,26.66666667,21.66666667,24.44444444,0,,42,7,5,0,,,80,71,76,0,,,,,,,,,
10001,06-07-42,0,,26.66666667,21.66666667,24.44444444,0,,42,7,6,0,,,80,71,76,0,,,,,,,,,
10001,07-07-42,T,,28.33333333,22.77777778,25.55555556,0,,42,7,7,T,,,83,73,78,0,,,,,,,,,
10001,08-07-42,3.556,,26.66666667,22.22222222,24.44444444,0,,42,7,8,0.14,,,80,72,76,0,,,,,,,,,
10001,09-07-42,T,,27.22222222,22.77777778,25,0,,42,7,9,T,,,81,73,77,0,,,,,,,,,
10001,10-07-42,3.556,,25.55555556,21.66666667,23.33333333,0,,42,7,10,0.14,,,78,71,74,0,,,,,,,,,
10001,11-07-42,0,,25.55555556,21.66666667,23.33333333,0,,42,7,11,0,,,78,71,74,0,,,,,,,,,
10001,12-07-42,0.508,,24.44444444,22.22222222,23.33333333,0,,42,7,12,0.02,,,76,72,74,0,,,,,,,,,
10001,13-07-42,0,,26.11111111,21.66666667,23.88888889,0,,42,7,13,0,,,79,71,75,0,,,,,,,,,
10001,14-07-42,0,,26.11111111,22.22222222,24.44444444,0,,42,7,14,0,,,79,72,76,0,,,,,,,,,
10001,15-07-42,0,,25.55555556,22.77777778,24.44444444,0,,42,7,15,0,,,78,73,76,0,,,,,,,,,
10001,16-07-42,T,,26.11111111,21.11111111,23.33333333,0,,42,7,16,T,,,79,70,74,0,,,,,,,,,
10001,17-07-42,T,,28.33333333,22.22222222,25.55555556,0,,42,7,17,T,,,83,72,78,0,,,,,,,,,
10001,18-07-42,T,,26.66666667,21.11111111,23.88888889,0,,42,7,18,T,,,80,70,75,0,,,,,,,,,
10001,19-07-42,0,,27.77777778,21.66666667,24.44444444,0,,42,7,19,0,,,82,71,76,0,,,,,,,,,
10001,20-07-42,0,,26.11111111,20,23.33333333,0,,42,7,20,0,,,79,68,74,0,,,,,,,,,
10001,21-07-42,T,,24.44444444,21.66666667,23.33333333,0,,42,7,21,T,,,76,71,74,0,,,,,,,,,
10001,22-07-42,T,,24.44444444,21.11111111,22.77777778,0,,42,7,22,T,,,76,70,73,0,,,,,,,,,
10001,23-07-42,0,,26.66666667,20.55555556,23.33333333,0,,42,7,23,0,,,80,69,74,0,,,,,,,,,
10001,24-07-42,0,,27.22222222,18.88888889,23.33333333,0,,42,7,24,0,,,81,66,74,0,,,,,,,,,
10001,25-07-42,0,,27.22222222,19.44444444,23.33333333,0,,42,7,25,0,,,81,67,74,0,,,,,,,,,
10001,26-07-42,0,,25.55555556,19.44444444,22.22222222,0,,42,7,26,0,,,78,67,72,0,,,,,,,,,
10001,27-07-42,0,,25.55555556,19.44444444,22.77777778,0,,42,7,27,0,,,78,67,73,0,,,,,,,,,
10001,28-07-42,0,,26.66666667,19.44444444,23.33333333,0,,42,7,28,0,,,80,67,74,0,,,,,,,,,
10001,29-07-42,0,,26.66666667,19.44444444,23.33333333,0,,42,7,29,0,,,80,67,74,0,,,,,,,,,
10001,30-07-42,0,,27.22222222,19.44444444,23.33333333,0,,42,7,30,0,,,81,67,74,0,,,,,,,,,
10001,31-07-42,0,,27.22222222,19.44444444,23.33333333,0,,42,7,31,0,,,81,67,74,0,,,,,,,,,
10001,01-08-42,0,,26.11111111,20,23.33333333,0,,42,8,1,0,,,79,68,74,0,,,,,,,,,
10001,02-08-42,0,,24.44444444,20.55555556,22.22222222,0,,42,8,2,0,,,76,69,72,0,,,,,,,,,
10001,03-08-42,0,,24.44444444,20.55555556,22.22222222,0,,42,8,3,0,,,76,69,72,0,,,,,,,,,
10001,04-08-42,0,,26.66666667,21.11111111,23.88888889,0,,42,8,4,0,,,80,70,75,0,,,,,,,,,
10001,05-08-42,T,,26.66666667,21.11111111,23.88888889,0,,42,8,5,T,,,80,70,75,0,,,,,,,,,
10001,06-08-42,0,,24.44444444,21.66666667,23.33333333,0,,42,8,6,0,,,76,71,74,0,,,,,,,,,
10001,07-08-42,T,,24.44444444,21.11111111,22.77777778,0,,42,8,7,T,,,76,70,73,0,,,,,,,,,
10001,08-08-42,0,,26.11111111,20.55555556,23.33333333,0,,42,8,8,0,,,79,69,74,0,,,,,,,,,
10001,09-08-42,0,,26.11111111,20.55555556,23.33333333,0,,42,8,9,0,,,79,69,74,0,,,,,,,,,
10001,10-08-42,0,,27.22222222,21.66666667,24.44444444,0,,42,8,10,0,,,81,71,76,0,,,,,,,,,
10001,11-08-42,0,,25,21.66666667,23.33333333,0,,42,8,11,0,,,77,71,74,0,,,,,,,,,
10001,12-08-42,0,,25.55555556,20.55555556,23.33333333,0,,42,8,12,0,,,78,69,74,0,,,,,,,,,
10001,13-08-42,0,,25.55555556,20.55555556,23.33333333,0,,42,8,13,0,,,78,69,74,0,,,,,,,,,
10001,14-08-42,T,,25.55555556,20,22.77777778,0,,42,8,14,T,,,78,68,73,0,,,,,,,,,
10001,15-08-42,0.254,,25.55555556,17.77777778,21.66666667,0,,42,8,15,0.01,,,78,64,71,0,,,,,,,,,
10001,16-08-42,0,,25.55555556,19.44444444,22.22222222,0,,42,8,16,0,,,78,67,72,0,,,,,,,,,
10001,17-08-42,T,,25.55555556,20,22.77777778,0,,42,8,17,T,,,78,68,73,0,,,,,,,,,
10001,18-08-42,T,,26.11111111,20.55555556,23.33333333,0,,42,8,18,T,,,79,69,74,0,,,,,,,,,
10001,19-08-42,0,,27.77777778,20.55555556,24.44444444,0,,42,8,19,0,,,82,69,76,0,,,,,,,,,
10001,20-08-42,0.508,,23.88888889,20.55555556,22.22222222,0,,42,8,20,0.02,,,75,69,72,0,,,,,,,,,
10001,21-08-42,0.254,,32.77777778,20,23.33333333,0,,42,8,21,0.01,,,91,68,74,0,,,,,,,,,
10001,22-08-42,0,,27.22222222,20.55555556,23.33333333,0,,42,8,22,0,,,81,69,74,0,,,,,,,,,
10001,23-08-42,0,,25,20.55555556,22.77777778,0,,42,8,23,0,,,77,69,73,0,,,,,,,,,
10001,24-08-42,0,,27.77777778,20.55555556,24.44444444,0,,42,8,24,0,,,82,69,76,0,,,,,,,,,
10001,25-08-42,0,,26.66666667,20,23.33333333,0,,42,8,25,0,,,80,68,74,0,,,,,,,,,
10001,26-08-42,0,,27.22222222,20.55555556,23.88888889,0,,42,8,26,0,,,81,69,75,0,,,,,,,,,
10001,27-08-42,0,,27.22222222,20.55555556,23.88888889,0,,42,8,27,0,,,81,69,75,0,,,,,,,,,
10001,28-08-42,T,,27.22222222,20.55555556,23.88888889,0,,42,8,28,T,,,81,69,75,0,,,,,,,,,
10001,29-08-42,T,,25,21.11111111,23.33333333,0,,42,8,29,T,,,77,70,74,0,,,,,,,,,
10001,30-08-42,0,,27.22222222,20.55555556,23.88888889,0,,42,8,30,0,,,81,69,75,0,,,,,,,,,
10001,31-08-42,0,,27.22222222,21.11111111,23.88888889,0,,42,8,31,0,,,81,70,75,0,,,,,,,,,
10001,01-09-42,0.254,,27.22222222,21.11111111,24.44444444,0,,42,9,1,0.01,,,81,70,76,0,,,,,,,,,
10001,02-09-42,0.254,,27.22222222,22.22222222,25,0,,42,9,2,0.01,,,81,72,77,0,,,,,,,,,
10001,03-09-42,1.778,,27.22222222,21.11111111,24.44444444,0,,42,9,3,0.07,,,81,70,76,0,,,,,,,,,
10001,04-09-42,0,,27.22222222,21.11111111,24.44444444,0,,42,9,4,0,,,81,70,76,0,,,,,,,,,
10001,05-09-42,T,,27.22222222,22.22222222,24.44444444,0,,42,9,5,T,,,81,72,76,0,,,,,,,,,
10001,06-09-42,0,,26.66666667,22.22222222,24.44444444,0,,42,9,6,0,,,80,72,76,0,,,,,,,,,
10001,07-09-42,0.254,,26.66666667,21.66666667,24.44444444,0,,42,9,7,0.01,,,80,71,76,0,,,,,,,,,
10001,08-09-42,0,,27.22222222,21.11111111,24.44444444,0,,42,9,8,0,,,81,70,76,0,,,,,,,,,
10001,09-09-42,T,,26.66666667,21.66666667,24.44444444,0,,42,9,9,T,,,80,71,76,0,,,,,,,,,
10001,10-09-42,0,,28.33333333,21.11111111,24.44444444,0,,42,9,10,0,,,83,70,76,0,,,,,,,,,
10001,11-09-42,0,,26.11111111,21.11111111,23.33333333,0,,42,9,11,0,,,79,70,74,0,,,,,,,,,
10001,12-09-42,T,,27.22222222,21.66666667,24.44444444,0,,42,9,12,T,,,81,71,76,0,,,,,,,,,
10001,13-09-42,T,,27.22222222,21.66666667,24.44444444,0,,42,9,13,T,,,81,71,76,0,,,,,,,,,
10001,14-09-42,1.016,,27.77777778,22.77777778,25.55555556,0,,42,9,14,0.04,,,82,73,78,0,,,,,,,,,
10001,15-09-42,0,,27.77777778,22.77777778,25.55555556,0,,42,9,15,0,,,82,73,78,0,,,,,,,,,
10001,16-09-42,0,,30,21.66666667,25.55555556,0,,42,9,16,0,,,86,71,78,0,,,,,,,,,
10001,17-09-42,0,,27.77777778,22.22222222,25,0,,42,9,17,0,,,82,72,77,0,,,,,,,,,
10001,18-09-42,0,,31.11111111,21.11111111,26.11111111,0,,42,9,18,0,,,88,70,79,0,,,,,,,,,
10001,19-09-42,0,,34.44444444,22.22222222,28.33333333,0,,42,9,19,0,,,94,72,83,0,,,,,,,,,
10001,20-09-42,T,,30.55555556,21.66666667,26.11111111,0,,42,9,20,T,,,87,71,79,0,,,,,,,,,
10001,21-09-42,T,,29.44444444,22.22222222,26.11111111,0,,42,9,21,T,,,85,72,79,0,,,,,,,,,
