age,annual_income,monthly_income,debt_to_income_ratio,credit_score,loan_amount,interest_rate,loan_term,installment,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies,loan_paid_back,gender_Male,gender_Other,marital_status_Married,marital_status_Single,marital_status_Widowed,education_level_High School,education_level_Master's,education_level_Other,education_level_PhD,employment_status_Retired,employment_status_Self-employed,employment_status_Student,employment_status_Unemployed,loan_purpose_Car,loan_purpose_Debt consolidation,loan_purpose_Education,loan_purpose_Home,loan_purpose_Medical,loan_purpose_Other,loan_purpose_Vacation,grade_subgrade_A2,grade_subgrade_A3,grade_subgrade_A4,grade_subgrade_A5,grade_subgrade_B1,grade_subgrade_B2,grade_subgrade_B3,grade_subgrade_B4,grade_subgrade_B5,grade_subgrade_C1,grade_subgrade_C2,grade_subgrade_C3,grade_subgrade_C4,grade_subgrade_C5,grade_subgrade_D1,grade_subgrade_D2,grade_subgrade_D3,grade_subgrade_D4,grade_subgrade_D5,grade_subgrade_E1,grade_subgrade_E2,grade_subgrade_E3,grade_subgrade_E4,grade_subgrade_E5,grade_subgrade_F1,grade_subgrade_F2,grade_subgrade_F3,grade_subgrade_F4,grade_subgrade_F5
59,24240.19,2020.02,0.074,743,17173.72,13.39,36.0,581.88,7.0,40833.47,24302.07,1.0,0.0,1.0,1,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,20172.98,1681.08,0.219,531,22663.89,17.81,60.0,573.17,5.0,27968.01,10803.01,1.0,0.0,3.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
49,26181.8,2181.82,0.234,779,3631.36,9.53,60.0,76.32,2.0,15502.25,4505.44,0.0,0.0,0.0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,11873.84,989.49,0.264,809,14939.23,7.99,36.0,468.07,7.0,18157.79,5525.63,4.0,0.0,5.0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,25326.44,2110.54,0.26,663,16551.71,15.2,60.0,395.5,1.0,17467.56,3593.91,2.0,0.0,2.0,1,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
28,55559.8,4629.98,0.081,774,12724.02,12.73,60.0,287.75,3.0,76147.61,14885.25,0.0,0.0,1.0,1,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,24642.88,2053.57,0.165,742,5905.27,12.48,36.0,197.5,6.0,18380.15,12683.33,3.0,0.0,3.0,0,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,52610.69,4384.22,0.135,810,15136.35,8.45,36.0,477.47,4.0,75260.33,13768.13,0.0,0.0,0.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,62922.05,5243.5,0.074,724,500.0,9.95,36.0,16.12,6.0,42759.4,15596.93,3.0,0.0,4.0,1,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,53439.89,4453.32,0.375,796,14712.38,11.81,36.0,487.33,4.0,40629.06,15965.92,2.0,0.0,2.0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,37067.58,3088.96,0.166,722,24847.59,15.16,36.0,863.3,3.0,31600.7,16748.87,1.0,0.0,2.0,1,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31,73500.9,6125.08,0.17,687,500.0,12.82,36.0,16.8,6.0,77679.01,53010.23,1.0,0.0,2.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,71284.88,5940.41,0.313,738,16352.99,10.22,36.0,529.36,2.0,57020.85,36722.12,0.0,0.0,0.0,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,23763.07,1980.26,0.272,637,18191.26,14.32,36.0,624.57,5.0,28673.92,4814.55,4.0,0.0,4.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
56,21597.98,1799.83,0.153,764,14908.25,8.5,36.0,470.62,8.0,30287.45,4164.77,0.0,0.0,1.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,27877.04,2323.09,0.269,618,15819.7,12.33,36.0,527.94,4.0,36113.16,32635.74,6.0,0.0,6.0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
44,30137.96,2511.5,0.059,720,10886.6,14.09,36.0,372.55,1.0,39076.27,4781.56,1.0,0.0,1.0,1,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,73356.57,6113.05,0.092,589,28579.38,15.89,60.0,693.33,5.0,102355.5,38663.29,4.0,0.0,5.0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
42,58633.23,4886.1,0.21,578,16116.67,17.24,60.0,402.62,4.0,86242.85,65905.57,5.0,0.0,5.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
73,39383.19,3281.93,0.229,732,19078.95,12.79,60.0,432.06,3.0,30102.24,13122.81,2.0,0.0,2.0,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,40245.27,3353.77,0.113,564,9831.78,15.51,36.0,343.28,2.0,56819.25,41201.7,1.0,0.0,2.0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
44,18875.14,1572.93,0.158,694,9607.62,12.14,36.0,319.75,5.0,25809.11,21463.92,4.0,0.0,5.0,1,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,70246.14,5853.84,0.1,440,8853.43,14.32,36.0,303.97,4.0,79490.56,59161.78,4.0,0.0,4.0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
50,40422.15,3368.51,0.067,753,19415.58,11.79,36.0,642.93,6.0,65806.15,48129.85,2.0,1.0,2.0,1,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,19364.05,1613.67,0.14,619,18128.74,13.84,36.0,618.19,8.0,25883.17,15321.34,4.0,0.0,4.0,1,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
22,13220.54,1101.71,0.122,709,9692.3,13.68,36.0,329.76,6.0,23805.97,19098.49,2.0,0.0,3.0,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,16936.71,1411.39,0.425,705,18627.46,13.52,36.0,632.31,3.0,25978.62,15219.35,1.0,0.0,1.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,37957.37,3163.11,0.135,739,9656.48,8.71,36.0,305.77,4.0,46657.36,37539.24,2.0,0.0,3.0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,7884.14,657.01,0.222,692,5772.28,12.26,36.0,192.44,9.0,18319.12,16782.77,0.0,0.0,1.0,1,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,18014.35,1501.2,0.212,702,11345.92,13.82,60.0,262.94,5.0,30467.37,27089.2,0.0,0.0,1.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,48453.69,4037.81,0.195,610,5285.92,10.52,60.0,113.67,1.0,32166.14,21365.3,5.0,0.0,7.0,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
45,27944.46,2328.7,0.132,553,6268.32,15.01,36.0,217.32,3.0,40793.67,23122.33,2.0,0.0,3.0,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
69,12516.84,1043.07,0.562,818,10469.04,10.09,36.0,338.25,6.0,20412.01,17283.32,3.0,0.0,3.0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,24864.78,2072.06,0.111,629,6321.47,9.89,36.0,203.65,5.0,23358.63,18679.74,4.0,0.0,4.0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
62,34248.84,2854.07,0.09,685,10673.12,11.68,36.0,352.87,7.0,45509.72,21928.41,0.0,1.0,1.0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
